,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9102431381393428051,"contentId
-9102431381393428051    How Leaders Can Let Go Without Losing Control
-9102431381393428051    How Leaders Can Let Go Without Losing Control
Name: title, dtype: object",4 Reasons Managers Should Spend More Time on Coaching,Changing change management,Lean IT is all about people - o Lean na TI é focado em pessoas,[Retro] Celebration Grids - Management 3.0,O que você deve fazer para se tornar um líder melhor?
-9090514312860140897,OpenBazaar is Open for Business,Making open source data more available,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,Shopping app Spring's redesign could be a game-changer,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Wells Fargo to Verify Customers through Eye Prints
-9086955082453789880,We are on the verge of a consumer M&A avalanche,The Competitive Landscape for Machine Intelligence,Understanding the Twitter topic Tracker,Innovation is in all the wrong places,Why Steve Jobs Was Proud to Steal Ideas,2016 will be the year of conversational commerce - Chris Messina
-9083294960368598209,Drupal How-To: Responsive or Adaptive Images? | Acquia,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"Lava-louças Brastemp Ative! 8 Serviços Blf08abana 110v - R$ 800,00",Introducing Style Detection for Google Cloud Vision API,Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,Containers are not VMs
-9076501258717815738,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
-9073210245497295284,Number plate recognition with Tensorflow,Conversational Banking; from branches to bots. - Chatbots Magazine,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company",Exclusive: Why Microsoft is betting its future on AI
-9064100704535292718,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Announcing .NET Core 1.0,"Microservices Reference Architecture, Part 4 -12‑Factor App",Beyond Progressive Web Apps Part 1,Chrome DevTools - Console API Reference,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC
-9056114023474725450,Acquia Engage 2016: Day One,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Bringing Pokémon GO to life on Google Cloud,Meet Aquifer: A build system for easier Drupal development,A plan for media management in Drupal 8,Drupal 8.1.0 is now available
-9055044275358686874,Accept questions from your audience when presenting in Google Slides,7 lessons about finding the work you were meant to do,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Ordering coffee in Italy: the 10 commandments,Staying one step ahead at Pixar: An interview with Ed Catmull
-9050450867630628092,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,A Baseline for Hybrid Mobile Developers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,CSS Containment in Chrome 52 | Web Updates - Google Developers
-9039021554659316935,Concurso Literário Leia Mulheres + Sweek | Sweek,Promoting gender equality through emoji �� ��,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia","Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",How to Override Features
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Machine Learning Is No Longer Just for Experts,Exclusive: Why Microsoft is betting its future on AI
-9028990334396397584,Xamarin for Everyone,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
-9019582414165805420,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Goodbye accountants! Startup builds AI to automate all your accounting,Governo define cronograma para plano nacional de Internet das Coisas,Digital is all about the people - Chris Skinner's blog
-9019233957195913605,Berners-Lee quer criar outra Web,Clean Coder Blog,Anti-If: The missing patterns,Alecrim/AlecrimCoreData,Programming by poking: why MIT stopped teaching SICP,New MacBook Pro is not a Laptop for Developers Anymore
-8992803137960175254,4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-8992201526199201450,15 Awesome Sublime Text Plugins For Web Development,TypeScript 2.0 is now available!,O WhatsApp do Google chegou e se chama Allo,Google releases keyboard for the iPhone with built-in search features,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
-8984665034930053829,An Introduction to Elasticsearch Aggregations,Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",O RH chega ao board,2016 will be the year of conversational commerce - Chris Messina
-8968101771604200516,Olhando para o futuro: 5 pontos de atenção,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Nubank e Goldman fecham parceria de R$ 200 milhões,Bradesco lança serviço inédito para estimular o hábito de poupar,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",The Future of Digital Banking is Now
-8964534883296838326,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,New settings for 2-Step Verification,Apache Spark 2.0 Preview: Machine Learning Model Persistence,Artificial intelligence is changing SEO faster than you think,Machine Intelligence - Research at Google,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy"
-8954346068661072425,The technology behind preview photos,Evernote anuncia integração com Google Drive | Google Discovery,Top 5 GCP NEXT breakout sessions on YouTube (so far),A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"[Tools] Personal Kanban in ""Favro""",We spent a week making Trello boards load extremely fast. Here's how we did it.
-8950763842769120954,Mobify report reveals impact of mobile website speed,Falling for Web Components,Things you probably didn't know you could do with Chrome's Developer Console,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!
-8949113594875411859,"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,The Rise And Growth of Ethereum Gets Mainstream Coverage,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Especial: O papel dos grandes provedores de TI na Rio 2016,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine
-8948234514303933700,Nova pulseira tecnológica avisa se você já bebeu demais,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"STEMTera, uma protoboard com Arduino Uno embutido",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi
-8939172344092554931,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Why Is Learning Drupal Hard?,Deep Learning Demystified,One year as a Data Scientist at Stack Overflow,Big data's 'streetlight effect': where and how we look affects what we see,Introduction to Natural Language Processing - University of Michigan | Coursera
-8933526098329881084,RecyclerView Prefetch - Google Developers,Building interfaces with ConstraintLayout - Google Developers,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,"Fresco, sim! - Android Dev BR",Announcing updates to Google's Internet of Things platform: Android Things and Weave,Adulterated Objective-C
-8913397556833789413,Falling for Web Components,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Não existe frete grátis!
-8909927294729358771,"Android N Developer Preview 2, out today! | Android Developers Blog",Governo busca empresas para aprimorar Internet das Coisas no Brasil,[Teste] Quer saber como está seu português? - Runrun.it Blog,"ConstraintLayout, Inside and Out: Part 1",Dicionário Priberam da Língua Portuguesa,Sabia que você pode transformar o seu celular em uma impressora 3D?
-8908991577172785311,"Bots need a personality, not a brain like a vending machine",What the future will look like when we use chatbots instead of apps,Can virtual reality revolutionise education?,Woolworths,Prisma for Android is now live for all in the Google Play Store,Facebook Thinks It Has Found the Secret to Making Bots Less Dumb
-8900113512825364282,Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,How Blockchain Technology Can Improve the Insurance Industry,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",Making open source data more available
-8885776096632729273,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery,The Developer's Midlife Crisis: What's Next?,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery"
-8876785823151614444,Physicists have discovered what makes neural networks so extraordinarily powerful,The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,AI Revolution 101 - AI Revolution,New Sessions Added To Google I/O 2016 Schedule,Scala is the new golden child
-8863047175241170722,Big data's 'streetlight effect': where and how we look affects what we see,One year as a Data Scientist at Stack Overflow,Writing good code: how to reduce the cognitive load of your code,Bridging the Communication Gap Between Developers and Architects - DaedTech,Aplicação de visão computacional com OpenCV,The five phases of migrating to Google Cloud Platform
-8854146354650101086,"Within a Decade, Retail Banks will be Dead","Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth,Here's proof that Google is getting serious about battling Facebook in a key area,These gloves can convert sign language into spoken English,Machine Learning for Designers
-8819557474068526071,Good Software Takes Ten Years. Get Used To it.,5 reasons your employees aren't sharing their knowledge,Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
-8815620240581422908,"Agility in the Cloud: Which ""As a Service"" Works for You?",Writing good code: how to reduce the cognitive load of your code,Perfect Menu for Mobile Apps - UX Planet,Today in Apple history: Steve Jobs passes away | Cult of Mac,Desenvolvimento de Aplicativos Mobile com Xamarin -,Most Interesting APIs in 2016: Cognitive Computing
-8813724423497152538,Itaú é pioneiro do blockchain,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Blockchain won't kill banks: Bitcoin pioneer,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
-8800029253812071912,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Apple is working on an AI system that wipes the floor with Google and everyone else,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,What Pinterest learned in two years working on its search engine
-8797444257711529901,"E quando o cliente diz ""Não gostei""?",Designer Creates 13 Perfect Circles to Draw Almost Any Animal,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,Client-side ranking to more efficiently show people stories in feed,Usability Heuristics for Bots - Chatbots Magazine,Research at Google
-8773118241761372618,Visual C++ for Linux Development,"Android N Developer Preview 2, out today! | Android Developers Blog",[Teste] Quer saber como está seu português? - Runrun.it Blog,Governo busca empresas para aprimorar Internet das Coisas no Brasil,Dicionário Priberam da Língua Portuguesa,Exploring Java's Hidden Costs
-8771338872124599367,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape,Threaded messaging is coming to Slack,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds","Here's what Viv looks like, the next generation AI assistant built by Siri creator",TechCrunch launches a personalized news recommendations bot on Facebook Messenger
-8757701761088346244,Promises | Web Fundamentals - Google Developers,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Prototypal Object-Oriented Programming using JavaScript,Scrum Community - Scrum Alliance,19 Tips For Everyday Git Use
-8742648016180281673,Aposta na inovação,What Millennials Want from a New Job,Google HR chief Laszlo Bock leaving to launch startup,"""Não, você não aceita a homossexualidade ainda...""",Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,O que é liderança? Liderança é fazer a diversidade funcionar.
-8734181034726403477,Windows Subsystem for Linux Overview,4 Blockchain Macro Trends: Where to Place Your Bets,"GitHub broke my 1,000 day streak - Free Code Camp",Jenkins 2.0 is here!,Dries Buytaert: Advancing Drupal's web services,Artificial intelligence is hard to see
-8728075196312712282,Soylent's new drink will replace your breakfast and morning coffee,What Business Leaders Should Know About Swift,"ConstraintLayout, Inside and Out: Part 1",Firebase Test Lab for Android,Using DiffUtil in Android RecyclerView,Programação Reativa Funcional com RxJava
-8717945432162716060,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,Introduction · Bitcoin para Programadores,How Coca-Cola Is Harvesting Innovation Energy From Startups,Campus São Paulo: conheça a primeira turma do Programa de Residentes,These Are The 10 Most Purchased Brands in the World,Live asynchronously.
-8706427875719844202,Microsoft Accelerator startup DefinedCrowd connects machine learning with native speakers,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",The return of the machinery question,Artificial intelligence is changing SEO faster than you think,Corporate Intrapreneur Summit,TechCrunch launches a personalized news recommendations bot on Facebook Messenger
-8700857105739861338,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Nubank pode fechar as portas se BC confirmar mudança amanhã,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",You won't recognize the new world of digital payments without this report,Don't Waste Your Time on Networking Events,GE Digital snags ServiceMax for $915 million
-8680242653057858999,"3 Industries That Will Be Transformed By AI, Machine Learning And Big Data In The Next Decade",Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,[Books] Biblioteca FIXE: Sugestões de Leitura,Why Deep Learning Is Suddenly Changing Your Life,Why Programmers Want Private Offices,"Bot do Facebook Messenger simula entrevista para o processo de ""3%"""
-8669770849634489893,Here's How L'Oréal Plans To Continue Its Digital Innovation,Conselho da SABMiller aceita proposta de compra da AB InBev,Meet the new Brazilian consumer,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Where accountability really matters,Don Tapscott: How the blockchain is changing money and business
-8657415528200615063,WebAssembly Browser Preview,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",React Native v0.32.0-rc.0 released,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,The 100 (TV Series 2014- )
-8632408281960398473,Adobe CQ/Adobe AEM,Workspace Filter,AEM 6.1 Package Manager Metadata Files,Live Event: Unveiling the GitLab Master Plan,How to Install and Use the Linux Bash Shell on Windows 10,Test and deploy to Google App Engine with the new Maven and Gradle plugins
-8627051188605351707,When to make a Git Commit,ConstraintLayout - Part 1,Readable Content Guides,Sam Newman - Backends For Frontends,Revolutionize business communication with Kast,"Waterwheel, the Drupal SDK Ecosystem"
-8618420761918493321,What the Google I/O schedule tells us about the future of Android,"Bots, Messenger and the future of customer service",What SWAG will Google I/O 2016 attendees take home?,Why Steve Jobs Was Proud to Steal Ideas,Chrome extension brings Medium's best feature to the whole Web,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science
-8615957592921855596,Shutter Island (2010),A New Number Format for Computers Could Nuke Approximation Errors for Good,7 lessons about finding the work you were meant to do,The best-and worst-places to be a working woman,The Hateful Eight (2015),"Apple's new file manager, APFS, is awesome"
-8606063418076691067,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,Introducing Kotlin support in Spring Framework 5.0,Taking Microservices Home - NGINX
-8587352636561360574,Sons de animais na busca do Google | Google Discovery,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Graph-powered Machine Learning at Google,Tensorflow wins,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule
-8529522981244750831,How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,LOGOBR School | Behance Reviews Campinas 2016,Visa inaugura Co-Creation Center em São Paulo,Motion with Meaning: Semantic Animation in Interface Design,A identidade visual de Budapeste para as Olimpíadas de 2024,Prototyping across borders - From Tulsa to Brazil - +Acumen
-8518096793350810174,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Accept questions from your audience when presenting in Google Slides,7 lessons about finding the work you were meant to do,Staying one step ahead at Pixar: An interview with Ed Catmull,Trooly is using machine learning to judge trustworthiness from digital footprints,Google Unveiled A Partnership With Levi's To Create Smart Clothing
-8512461968928613053,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Python Eats Into R as SAS Dominance Fades,"diagramas para entender, criar, inovar e empreender: 3","Three cultures, three continents and three lessons on leadership",B2B Ecommerce Growing; Becoming More Like B2C,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
-8511291357261863413,Dark Scrum,Readable Content Guides,Post: Just Say mNo to Hungarian Notation,Sam Newman - Backends For Frontends,Alecrim/AlecrimCoreData,So long MVP. Hello Minimum Loveable Product.
-8508606815368130888,Revista PROGRAMAR nº 53 - Agosto de 2016,What the JIT!? Anatomy of the OpenJDK HotSpot VM,"Android N Developer Preview 2, out today! | Android Developers Blog",The technology behind preview photos,[Teste] Quer saber como está seu português? - Runrun.it Blog,Inteligência artificial da IBM criou 'trailer perfeito' para filme
-8497895589300643949,Where accountability really matters,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Here's How L'Oréal Plans To Continue Its Digital Innovation,Introducing New Relic Infrastructure
-8480712303720557641,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Introducing Cloud Spanner: a global database service for mission-critical applications,Apple e Google querem que você pague por assinatura em apps,Introducing the Google Analytics Demo Account for Learning,Here are the SDKs Top Mobile Apps Use,Salesforce Architect Journey
-8467102776052559275,Creating Your Code Review Checklist - DaedTech,The Importance of Code Reviews,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional,UE não dá sossego ao Google. Novo alvo? O AdSense,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%)
-8412113620940365599,The best-and worst-places to be a working woman,"""We only hire the best"" - Signal v. Noise",Shutter Island (2010),A importância dos filmes de mulherzinha - Capitolina,7 lessons about finding the work you were meant to do,Accept questions from your audience when presenting in Google Slides
-8404657131309965885,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Inbox by Gmail ganha formatação de texto | Google Discovery,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free"
-8392586470872505716,Why Introverts Are Better at Sales Than Extroverts,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Unilever: The biggest digital start-up in the world?,You won't recognize the new world of digital payments without this report,"Razorfish, US digital revenues, drag down Publicis","Inovador, Nubank ganha prêmio no Vale do Silício | EXAME.com"
-8381230866408697127,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,"STEMTera, uma protoboard com Arduino Uno embutido"
-8377626164558006982,Bad Writing Is Destroying Your Company's Productivity,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,Building a high-throughput data science machine,Graph-powered Machine Learning at Google
-8370744479086515302,Mobile banking conquista o coração dos brasileiros,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Blockchain Will Be Used By 15% of Big Banks By 2017,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Say goodbye to traditional customer segmentation "" Banking Technology"
-8369610219380465981,Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Don't Waste Your Time on Networking Events,Unilever Buys Dollar Shave Club for $1 Billion
-8349788035147634450,How Mature is Your Organization when it Comes to UX?,35 Innovative and Inspirational Website Designs in Banking,O tênue equilíbrio da equipe que desenha produtos digitais,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Chatbots: Are they better without the chat?,#FinTech is all about human-centred design - Chris Skinner's blog
-8340365043226490059,big data = real time,The omnichannel customer experience is poised to take off in regulated industries,The future is the trust economy,Onde a tecnologia e o cuidado se encontram? - Saúde Business,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift
-8314629309720421219,Hacked Website Report - 2016/Q3,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados,Kickstarter 3D printer will print circuit boards as part of your designs,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Google's new translation software is almost as good as human translators,E os vencedores do Latam Founders Awards 2016 são... - Startupi
-8312968399134741370,How AWS came to be,Five things to include in your digital transformation playbook,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,7 Questions to Ask Before Your Next Digital Transformation,Carrefour começa a operar e-commerce no Brasil | EXAME.com,Optimize Your Agile Growth Strategy with Cloud
-8287402887944984163,Containers are not VMs,Dries Buytaert: Advancing Drupal's web services,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"There will be a Drupal 9, and here is why",Artificial intelligence is hard to see,Introducing Style Detection for Google Cloud Vision API
-8282357075607822317,Cross-channel user experiences with Drupal (awesome video demo!),GE Digital snags ServiceMax for $915 million,You won't recognize the new world of digital payments without this report,How AWS came to be,Optimize Your Agile Growth Strategy with Cloud,7 Questions to Ask Before Your Next Digital Transformation
-8279505492976427918,"Bots, Messenger and the future of customer service",What the Google I/O schedule tells us about the future of Android,Uma recepção eficiente,Enable secure mode on your web product | Intercom Docs,Why Steve Jobs Was Proud to Steal Ideas,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science
-8277924497842156608,GitHub on BigQuery: Analyze all the open source code,An Overly Thorough Guide To Underused Android Libraries,Achievement Unlocked : AWS Certified Solutions Architect Professional,Why 2016 is shaping up to be the Year of the Bot,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
-8258529658421542282,Vision API - Image Content Analysis,"How to Build and Publish ES6 Modules Today, with Babel and Rollup",Modelando APIs REST com Swagger,Comparing React.js to Vue.js for dynamic tabular data,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Labelling automated builds on Docker Hub - Microscaling Systems
-8254222281357012124,Dicas para aumentar produtividade: 14 dicas incríveis.,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,To bot or not to bot,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
